Shallow Rock,Activity (pH = 8.5) High C and High H,,,,Glycine+,,,Glycine,,,Glycine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
°C,,,,,,,,,,,,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,
300,-10.14359,-0.71921,-3.1763,-12.22858,199.0602,14.73881,674.2589765,196.9764,4.59522,703.7421839,189.2754,-5.54837,712.6773283,3.0312,6.6537,712.6769257,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,199.0602,14.73881,674.2589765,196.9764,4.59522,703.7421839,189.2754,-5.54837,712.6773283,3.0312,6.6537,712.6769257,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,199.0602,14.73881,674.2589765,196.9764,4.59522,703.7421839,189.2754,-5.54837,712.6773283,3.0312,6.6537,712.6769257,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,199.0602,14.73881,674.2589765,196.9764,4.59522,703.7421839,189.2754,-5.54837,712.6773283,3.0312,6.6537,712.6769257,,10.1436
299.999,-10.14359,-0.71921,-3.17631,-12.22857,199.0604,14.73882,674.2584952,196.9767,4.59523,703.7420168,189.2757,-5.54836,712.6771456,3.0312,6.6537,712.6767431,,10.1436
299.997,-10.14358,-0.71921,-3.17634,-12.22855,199.061,14.73886,674.2581908,196.9773,4.59528,703.7415731,189.2763,-5.5483,712.6766341,3.0312,6.6537,712.6762316,,10.1436
299.991,-10.14356,-0.71921,-3.17642,-12.22848,199.0628,14.73895,674.2573875,196.9791,4.59539,703.740388,189.2781,-5.54817,712.6752823,3.0312,6.6538,712.6748797,,10.1436
299.973,-10.1435,-0.7192,-3.17667,-12.22827,199.0681,14.73921,674.2546477,196.9846,4.59571,703.7372342,189.2836,-5.54779,712.6716285,3.0311,6.6538,712.6712259,,10.1435
299.913,-10.14331,-0.71918,-3.17746,-12.22758,199.0858,14.74004,674.2457624,197.0029,4.59673,703.726762,189.3017,-5.54658,712.6587945,3.0307,6.654,712.6583918,,10.1433
299.725,-10.1427,-0.71913,-3.17997,-12.22541,199.1413,14.74274,674.2176211,197.0603,4.60004,703.6936658,189.3584,-5.54266,712.6179783,3.0295,6.6544,712.6175756,,10.1427
299.133,-10.14081,-0.71897,-3.18791,-12.21857,199.3163,14.7513,674.128822,197.2412,4.61049,703.5890533,189.5371,-5.53032,712.4892047,3.0259,6.656,712.4888016,,10.1408
297.277,-10.13511,-0.71845,-3.21302,-12.19719,199.8672,14.77858,673.8488547,197.8106,4.64347,703.2601427,190.0995,-5.49164,712.0851929,3.0146,6.6609,712.0847887,,10.1351
