Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,pH
300,-10.14359,-0.71921,-3.1763,-12.22858,-13.931,90.17061,-103.8572971,-16.0484,100.3142,-116.0895122,-21.2683,110.45779,-131.4169461,-33.0963,120.60138,-153.3369716,2.256,5.0816,7.71,-150.2762371,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,-13.931,90.17061,-103.8572971,-16.0484,100.3142,-116.0895122,-21.2683,110.45779,-131.4169461,-33.0963,120.60138,-153.3369716,2.256,5.0816,7.71,-150.2762371,,10.1436
299.999,-10.14359,-0.71921,-3.17631,-12.22857,-13.9308,90.17063,-103.8569363,-16.0482,100.31422,-116.0891301,-21.2681,110.45781,-131.4165372,-33.0961,120.6014,-153.3365245,2.256,5.0816,7.71,-150.2757953,,10.1436
299.997,-10.14358,-0.71921,-3.17634,-12.22855,-13.9304,90.17071,-103.8562547,-16.0478,100.31429,-116.0883957,-21.2678,110.45787,-131.4158392,-33.0958,120.60145,-153.33574,2.256,5.0816,7.71,-150.2750229,,10.1436
299.991,-10.14356,-0.71921,-3.17642,-12.22848,-13.9294,90.17087,-103.8543294,-16.0468,100.31443,-116.0863225,-21.2668,110.45799,-131.4135855,-33.0947,120.60155,-153.3331372,2.256,5.0817,7.71,-150.2724684,,10.1436
299.973,-10.1435,-0.7192,-3.17667,-12.22827,-13.9262,90.1713,-103.8483044,-16.0436,100.3148,-116.0798535,-21.2638,110.4583,-131.4067748,-33.0915,120.6018,-153.3253787,2.256,5.0818,7.71,-150.2648418,,10.1435
299.913,-10.14331,-0.71918,-3.17746,-12.22758,-13.9158,90.17268,-103.8284351,-16.033,100.31599,-116.0583146,-21.2538,110.4593,-131.3840404,-33.081,120.60261,-153.2996613,2.256,5.0825,7.7099,-150.2401442,,10.1433
299.725,-10.1427,-0.71913,-3.17997,-12.22541,-13.8829,90.17729,-103.766163,-15.9999,100.31999,-115.9912226,-21.2225,110.46269,-131.3131072,-33.0478,120.60539,-153.2190356,2.255,5.0844,7.7098,-150.1614692,,10.1427
299.133,-10.14081,-0.71897,-3.18791,-12.21857,-13.7794,90.19203,-103.5705149,-15.8957,100.33284,-115.7803613,-21.124,110.47365,-131.0902078,-32.9437,120.61446,-152.9660379,2.254,5.0906,7.7093,-149.9156693,,10.1408
297.277,-10.13511,-0.71845,-3.21302,-12.19719,-13.4555,90.24005,-102.9606952,-15.5694,100.37516,-115.1229006,-20.8157,110.51027,-130.3953079,-32.618,120.64538,-152.1772549,2.2505,5.1098,7.7083,-149.1459063,,10.1351
