Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,pH
195.326,-10.33736,-0.67632,-5.25813,-7.91184,7.6942,45.71014,-34.10020883,5.9909,35.37278,-26.3554773,1.8524,25.03542,-20.79511445,-5.0405,14.69806,-17.70544193,1.7033,4.1396,6.8917,-17.77975963,,10.3374
162.5,-10.57849,-0.6708,-6.09875,-7.67006,13.2763,49.73219,-30.40950716,11.6287,39.1537,-22.95984776,7.254,28.57521,-17.78498586,0.1142,17.99672,-14.91661896,1.6476,4.3749,7.1396,-15.03650975,,10.5785
99.134,-11.37652,-0.66395,-8.1392,-7.35753,25.3281,60.17077,-24.83646357,23.7619,48.79425,-17.84349618,18.8064,37.41773,-13.266481,10.9583,26.04121,-10.75136161,1.5662,4.9555,7.8481,-11.21013298,,11.3765
91.07,-11.52007,-0.66397,-8.45717,-7.32643,27.0066,61.84194,-24.29337208,25.4463,50.32187,-17.3476555,20.4012,38.8018,-12.83215902,12.4348,27.28173,-10.35391056,1.5603,5.045,7.9665,-10.91563688,,11.5201
50,-12.40484,-0.6643,,-7.26458,36.1352,10.0319,16.15115307,34.5754,-2.37294,22.86141197,28.9992,-14.77778,27.08656395,20.2961,-27.18262,29.37697817,1.5598,5.5762,8.7031,27.96502638,,12.4048
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 11) High C High H,,,,His 2+,,,His+,,,His,,,His-,,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,,,,,
300,-10.14359,-0.71921,-3.1763,-12.22858,-8.2919,46.79205,-60.45014268,-10.1845,36.64846,-51.39535408,-13.743,26.50487,-44.16875486,-20.2061,16.36128,-40.12971725,1.893,3.5867,6.4349,-40.16418955,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,-8.2919,46.79205,-60.45014268,-10.1845,36.64846,-51.39535408,-13.743,26.50487,-44.16875486,-20.2061,16.36128,-40.12971725,1.893,3.5867,6.4349,-40.16418955,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,-8.2919,46.79205,-60.45014268,-10.1845,36.64846,-51.39535408,-13.743,26.50487,-44.16875486,-20.2061,16.36128,-40.12971725,1.893,3.5867,6.4349,-40.16418955,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,-8.2919,46.79205,-60.45014268,-10.1845,36.64846,-51.39535408,-13.743,26.50487,-44.16875486,-20.2061,16.36128,-40.12971725,1.893,3.5867,6.4349,-40.16418955,,10.1436
299.999,-10.14359,-0.71921,-3.17631,-12.22857,-8.2918,46.79208,-60.44996039,-10.1844,36.64849,-51.39518759,-13.7429,26.5049,-44.16860098,-20.2059,16.36131,-40.12946067,1.893,3.5867,6.4349,-40.16393385,,10.1436
299.997,-10.14358,-0.71921,-3.17634,-12.22855,-8.2915,46.79221,-60.44956289,-10.1841,36.64863,-51.39483266,-13.7426,26.50505,-44.16828224,-20.2056,16.36147,-40.129167,1.893,3.5867,6.4349,-40.16363997,,10.1436
299.991,-10.14356,-0.71921,-3.17642,-12.22848,-8.2906,46.7925,-60.44826066,-10.1832,36.64894,-51.39364716,-13.7417,26.50538,-44.16719434,-20.2048,16.36182,-40.12825308,1.893,3.5867,6.4349,-40.16272456,,10.1436
299.973,-10.1435,-0.7192,-3.17667,-12.22827,-8.2879,46.79333,-60.44431016,-10.1805,36.64983,-51.39004687,-13.7391,26.50633,-44.16399658,-20.2022,16.36283,-40.125248,1.893,3.5868,6.4349,-40.15971784,,10.1435
