Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
299.973,-10.19053,-0.70002,-3.32271,-8.97424,23.5761,46.87903,-12.78593024,21.2929,57.06956,-19.63005849,14.1247,67.26009,-29.15450502,2.2832,7.1681,-28.73069406,,10.1905
299.913,-10.19033,-0.70001,-3.3235,-8.97355,23.5955,46.88525,-12.7773608,21.3123,57.07558,-19.62066281,14.1444,67.26591,-29.14383792,2.2832,7.1678,-28.72036314,,10.1903
299.725,-10.18971,-0.69996,-3.32601,-8.97137,23.6563,46.90466,-12.75046886,21.3731,57.09437,-19.59118581,14.2062,67.28408,-29.11034825,2.2832,7.1669,-28.68788931,,10.1897
299.133,-10.18777,-0.6998,-3.33394,-8.96448,23.8478,46.96594,-12.66594789,21.5647,57.15371,-19.49847809,14.4007,67.34148,-29.00515184,2.2831,7.1639,-28.58602347,,10.1878
297.277,-10.18194,-0.69931,-3.35904,-8.94296,24.4481,47.16052,-12.40330567,22.1652,57.34246,-19.21038395,15.0104,67.5244,-28.6780182,2.2829,7.1548,-28.26889214,,10.1819
291.57,-10.16626,-0.69784,-3.43847,-8.87722,26.2951,47.78025,-11.6157036,24.0119,57.94651,-18.34636349,16.8841,68.11277,-27.69620163,2.2832,7.1278,-27.31552829,,10.1663
275,-10.1389,-0.6937,-3.68776,-8.69048,31.6876,49.75432,-9.480968306,29.3994,59.89322,-16.00240337,22.3382,70.03212,-25.02859091,2.2881,7.0612,-24.71150719,,10.1389
233.93,-10.17565,-0.68417,-4.41968,-8.26014,45.5057,55.72066,-4.958920142,43.21,65.89631,-11.01321979,36.2119,76.07196,-19.35033073,2.2957,6.9981,-19.09585097,,10.1757
233.254,-10.17743,-0.68402,-4.43308,-8.25351,45.7408,55.83163,-4.892129892,43.4452,66.00906,-10.93917289,36.4469,76.18649,-19.26612936,2.2956,6.9984,-19.01178929,,10.1774
195.326,-10.33736,-0.67632,-5.25813,-7.91184,59.4722,62.76141,-1.475206819,57.1896,73.09877,-7.135244048,50.1127,83.43613,-14.94551919,2.2826,7.0769,-14.66141696,,10.3374
162.5,-10.57849,-0.6708,-6.09875,-7.67006,72.3882,69.97481,1.006558892,70.1276,80.5533,-4.348274021,62.882,91.13179,-11.78221395,2.2606,7.2457,-11.39012272,,10.5785
99.134,-11.37652,-0.66395,-8.1392,-7.35753,100.9641,87.88933,4.659962179,98.7596,99.26585,-0.1804319199,90.8817,110.64237,-7.042875311,2.2045,7.8779,-5.720350584,,11.3765
91.07,-11.52007,-0.66397,-8.45717,-7.32643,105.0261,90.72036,4.988248495,102.8282,102.24043,0.2049487002,94.8354,113.7605,-6.59896668,2.1979,7.9928,-4.98480463,,11.5201
