Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
291.57,-10.16626,-0.69784,-3.43847,-8.87722,-1.9716,45.39361,-56.90547918,-5.0968,55.55987,-72.87409624,-11.5656,65.72613,-92.85977899,2.2826,7.3115,-91.64371629,,10.1663
275,-10.1389,-0.6937,-3.68776,-8.69048,0.4539,46.20196,-53.34989256,-2.586,56.34086,-68.71857845,-9.0662,66.47976,-88.09922977,2.2811,7.239,-87.09186374,,10.1389
233.93,-10.17565,-0.68417,-4.41968,-8.26014,6.608,48.95186,-45.68023984,3.7751,59.12751,-59.7137664,-2.8261,69.30316,-77.81250685,2.2737,7.1604,-77.02069766,,10.1757
233.254,-10.17743,-0.68402,-4.43308,-8.25351,6.712,49.00603,-45.56565789,3.8825,59.18346,-59.57873072,-2.7218,69.36089,-77.65860081,2.2734,7.1604,-76.86761719,,10.1774
195.326,-10.33736,-0.67632,-5.25813,-7.91184,12.7421,52.53857,-39.66371117,10.1035,62.87593,-52.59638408,3.2741,73.21329,-69.70587671,2.252,7.216,-68.86016572,,10.3374
162.5,-10.57849,-0.6708,-6.09875,-7.67006,18.341,56.44956,-35.32008219,15.8589,67.02805,-47.4250033,8.7573,77.60654,-63.81140656,2.2259,7.3579,-62.70948394,,10.5785
99.134,-11.37652,-0.66395,-8.1392,-7.35753,30.4763,66.76313,-28.73987337,28.2392,78.13965,-39.52212454,20.3923,89.51617,-54.74744614,2.1687,7.9153,-51.60383507,,11.3765
91.07,-11.52007,-0.66397,-8.45717,-7.32643,32.1726,68.43451,-28.09803275,29.9578,79.95458,-38.74068305,21.992,91.47465,-53.83957369,2.1624,8.0182,-50.09526571,,11.5201
50,-12.40484,-0.6643,0,-7.26458,41.4392,26.9127,9.986805629,39.287,39.31754,-0.02099590706,30.61,51.72238,-14.51452418,2.1476,8.6815,-5.77513656,,12.4048
,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 8.5) Low C and Low H,,,,Glutamine+,,,Glutamine,,,Glutamine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,
300,-10.19062,-0.70003,-3.32234,-8.97456,-3.2035,45.05171,-58.84017496,-6.3744,55.24233,-75.13259549,-12.8447,65.43295,-95.44815205,2.2852,7.356,-94.08757304,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,-3.2035,45.05171,-58.84017496,-6.3744,55.24233,-75.13259549,-12.8447,65.43295,-95.44815205,2.2852,7.356,-94.08757304,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,-3.2035,45.05171,-58.84017496,-6.3744,55.24233,-75.13259549,-12.8447,65.43295,-95.44815205,2.2852,7.356,-94.08757304,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,-3.2035,45.05171,-58.84017496,-6.3744,55.24233,-75.13259549,-12.8447,65.43295,-95.44815205,2.2852,7.356,-94.08757304,,10.1906
299.999,-10.19062,-0.70003,-3.32235,-8.97455,-3.2033,45.05174,-58.839865,-6.3743,55.24236,-75.13237905,-12.8445,65.43298,-95.44777822,2.2852,7.356,-94.08720975,,10.1906
299.997,-10.19061,-0.70003,-3.32238,-8.97453,-3.203,45.05184,-58.83941581,-6.374,55.24245,-75.13186081,-12.8442,65.43306,-95.4471769,2.2852,7.356,-94.086614,,10.1906
299.991,-10.19059,-0.70003,-3.32246,-8.97446,-3.2022,45.05208,-58.83811703,-6.3731,55.24267,-75.13024515,-12.8433,65.43326,-95.44532418,2.2852,7.356,-94.08477715,,10.1906
299.973,-10.19053,-0.70002,-3.32271,-8.97424,-3.2022,45.05274,-58.8370739,-6.3703,55.24327,-75.12520316,-12.8405,65.4338,-95.43957102,2.2851,7.3559,-94.07936388,,10.1905
299.913,-10.19033,-0.70001,-3.3235,-8.97355,-3.1908,45.05502,-58.81979545,-6.3612,55.24535,-75.10877977,-12.8314,65.43568,-95.4207771,2.2851,7.3555,-94.06189699,,10.1903
299.725,-10.18971,-0.69996,-3.32601,-8.97137,-3.1633,45.06214,-58.77566042,-6.3327,55.25185,-75.05732655,-12.8028,65.44156,-95.36178277,2.285,7.3545,-94.00632279,,10.1897
299.133,-10.18777,-0.6998,-3.33394,-8.96448,-3.0767,45.08463,-58.63686806,-6.2428,55.2724,-74.89532922,-12.7127,65.46017,-95.17619767,2.2848,7.3512,-93.83188155,,10.1878
297.277,-10.18194,-0.69931,-3.35904,-8.94296,-2.8054,45.15685,-58.20510419,-5.9613,55.33879,-74.39138333,-12.4306,65.52073,-94.59867467,2.2841,7.3411,-93.28802924,,10.1819
291.57,-10.16626,-0.69784,-3.43847,-8.87722,-1.9716,45.39361,-56.90547918,-5.0968,55.55987,-72.87409624,-11.5656,65.72613,-92.85977899,2.2826,7.3115,-91.64371629,,10.1663
275,-10.13893,-0.6937,-3.68776,-8.69048,0.4539,46.20199,-53.34992755,-2.586,56.34092,-68.71864842,-9.0662,66.47985,-88.09933473,2.2811,7.239,-87.09196688,,10.1389
233.93,-10.17565,-0.68417,-4.41968,-8.26014,6.608,48.95186,-45.68023984,3.7751,59.12751,-59.7137664,-2.8261,69.30316,-77.81250685,2.2737,7.1604,-77.02069766,,10.1757
233.254,-10.17743,-0.68402,-4.43308,-8.25351,6.712,49.00603,-45.56565789,3.8825,59.18346,-59.57873072,-2.7218,69.36089,-77.65860081,2.2734,7.1604,-76.86761719,,10.1774
195.326,-10.33736,-0.67632,-5.25813,-7.91184,12.7421,52.53857,-39.66371117,10.1035,62.87593,-52.59638408,3.2741,73.21329,-69.70587671,2.252,7.216,-68.86016572,,10.3374
162.5,-10.57849,-0.6708,-6.09875,-7.67006,18.341,56.44956,-35.32008219,15.8589,67.02805,-47.4250033,8.7573,77.60654,-63.81140656,2.2259,7.3579,-62.70948394,,10.5785
99.134,-11.37652,-0.66395,-8.1392,-7.35753,30.4763,66.76313,-28.73987337,28.2392,78.13965,-39.52212454,20.3923,89.51617,-54.74744614,2.1687,7.9153,-51.60383507,,11.3765
91.07,-11.52007,-0.66397,-8.45717,-7.32643,32.1726,68.43451,-28.09803275,29.9578,79.95458,-38.74068305,21.992,91.47465,-53.83957369,2.1624,8.0182,-50.09526571,,11.5201
50,-12.40484,-0.6643,,-7.26458,41.4392,26.9127,9.986805629,39.287,39.31754,-0.02099590706,30.61,51.72238,-14.51452418,2.1476,8.6815,-5.77513656,,12.4048
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 11) -High C and High H,,,,Glutamine+,,,Glutamine,,,Glutamine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,
300,-10.14359,-0.71921,-3.1763,-12.22858,-3.2035,50.95514,-66.03854491,-6.3744,61.09873,-82.27361924,-12.8447,71.24232,-102.5318296,2.2852,7.356,-102.5272323,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,-3.2035,50.95514,-66.03854491,-6.3744,61.09873,-82.27361924,-12.8447,71.24232,-102.5318296,2.2852,7.356,-102.5272323,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,-3.2035,50.95514,-66.03854491,-6.3744,61.09873,-82.27361924,-12.8447,71.24232,-102.5318296,2.2852,7.356,-102.5272323,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,-3.2035,50.95514,-66.03854491,-6.3744,61.09873,-82.27361924,-12.8447,71.24232,-102.5318296,2.2852,7.356,-102.5272323,,10.1436
299.999,-10.14359,-0.71921,-3.17631,-12.22857,-3.2033,50.95517,-66.0382224,-6.3743,61.09876,-82.27339034,-12.8445,71.24235,-102.5314434,2.2852,7.356,-102.5268461,,10.1436
299.997,-10.14358,-0.71921,-3.17634,-12.22855,-3.203,50.95527,-66.0377481,-6.374,61.09885,-82.27284719,-12.8442,71.24243,-102.5308174,2.2852,7.356,-102.5262201,,10.1436
299.991,-10.14356,-0.71921,-3.17642,-12.22848,-3.2022,50.95551,-66.03637395,-6.3731,61.09907,-82.27115676,-12.8433,71.24263,-102.5288905,2.2852,7.356,-102.5242933,,10.1436
299.973,-10.1435,-0.7192,-3.17667,-12.22827,-3.2022,50.95619,-66.03512914,-6.3703,61.09969,-82.2659149,-12.8405,71.24319,-102.5229392,2.2851,7.3559,-102.5183433,,10.1435
299.913,-10.14331,-0.71918,-3.17746,-12.22758,-3.1908,50.95839,-66.0169996,-6.3612,61.1017,-82.24865861,-12.8314,71.24501,-102.5033306,2.2851,7.3555,-102.4987394,,10.1433
299.725,-10.1427,-0.71913,-3.17997,-12.22541,-3.1633,50.96554,-65.97054001,-6.3327,61.10824,-82.19491182,-12.8028,71.25094,-102.4420737,2.285,7.3545,-102.4374948,,10.1427
299.133,-10.14081,-0.71897,-3.18791,-12.21857,-3.0767,50.98823,-65.82455607,-6.2428,61.12904,-82.02584299,-12.7127,71.26985,-102.2495372,2.2848,7.3512,-102.2449982,,10.1408
297.277,-10.13511,-0.71845,-3.21302,-12.19719,-2.8054,51.06064,-65.36971202,-5.9613,61.19575,-81.49916011,-12.4306,71.33086,-101.6496204,2.2841,7.3411,-101.6452018,,10.1351
291.57,-10.11977,-0.71689,-3.29237,-12.13179,-1.9716,51.29721,-63.99817838,-5.0968,61.41698,-79.91094145,-11.5656,71.53675,-99.84077021,2.2826,7.3115,-99.83668782,,10.1198
275,-10.0929,-0.71244,-3.54031,-11.94549,0.4539,52.09739,-60.22495037,-2.586,62.19029,-75.53999256,-9.0662,72.28319,-94.86700019,2.2811,7.239,-94.86364984,,10.0929
258.839,-10.08997,-0.70822,-3.80631,-11.76967,2.8428,53.03484,-56.80661988,-0.1159,63.12481,-71.57491455,-6.6276,73.21478,-90.36444287,2.2799,7.1905,-90.36152982,,10.09
233.93,-10.12726,-0.70193,-4.2622,-11.51286,6.608,54.78135,-51.9690501,3.7751,64.90861,-65.95037389,-2.8261,75.03587,-83.99691157,2.2737,7.1604,-83.99430102,,10.1273
175.149,-10.41788,-0.68904,-5.57937,-11.00244,16.1359,60.52097,-42.33174077,13.595,70.93885,-54.69102545,6.6067,81.35673,-71.2919658,2.2365,7.2926,-71.28871008,,10.4179
162.5,-10.52173,-0.68677,-5.91405,-10.91448,18.341,62.10187,-40.55880163,15.8589,72.6236,-52.61111597,8.7573,83.14533,-68.94491248,2.1687,7.3579,-68.94118952,,10.5217
99.958,-11.30421,-0.67895,-7.91234,-10.60426,30.3051,72.18498,-33.24309406,28.0656,83.48919,-43.99371764,20.2304,94.7934,-59.18605359,2.1694,7.9053,-59.17384753,,11.3042
91.07,-11.4623,-0.67898,-8.26261,-10.56987,32.1726,74.02591,-32.43060487,29.9578,85.48821,-43.0284913,21.992,96.95051,-58.08261807,2.1624,8.0182,-58.06693602,,11.4623
