Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,
300,-10.19062,-0.70003,-3.32234,-8.97456,1.7194,17.14176,-28.20797052,-1.2931,6.95114,-15.07896838,-7.6201,-3.23948,-8.012288638,3.03,6.3095,-8.057570866,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,1.7194,17.14176,-28.20797052,-1.2931,6.95114,-15.07896838,-7.6201,-3.23948,-8.012288638,3.03,6.3095,-8.057570866,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,1.7194,17.14176,-28.20797052,-1.2931,6.95114,-15.07896838,-7.6201,-3.23948,-8.012288638,3.03,6.3095,-8.057570866,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,1.7194,17.14176,-28.20797052,-1.2931,6.95114,-15.07896838,-7.6201,-3.23948,-8.012288638,3.03,6.3095,-8.057570866,,10.1906
299.999,-10.19062,-0.70003,-3.32235,-8.97455,1.7195,17.14178,-28.20777498,-1.293,6.95116,-15.07879575,-7.62,-3.23946,-8.012128337,3.03,6.3095,-8.057410485,,10.1906
299.997,-10.19061,-0.70003,-3.32238,-8.97453,1.7196,17.14185,-28.20762168,-1.2928,6.95124,-15.07852365,-7.6199,-3.23937,-8.012082088,3.03,6.3095,-8.05736279,,10.1906
299.991,-10.19059,-0.70003,-3.32246,-8.97446,1.7202,17.14202,-28.20653991,-1.2922,6.95143,-15.07761591,-7.6193,-3.23916,-8.011284903,3.0299,6.3096,-8.056575256,,10.1906
299.973,-10.19053,-0.70002,-3.32271,-8.97424,1.7219,17.14249,-28.20340446,-1.2905,6.95196,-15.07500252,-7.6178,-3.23857,-8.009368962,3.0298,6.3098,-8.054675571,,10.1905
299.913,-10.19033,-0.70001,-3.3235,-8.97355,1.7274,17.14411,-28.1933563,-1.2846,6.95378,-15.06596301,-7.6125,-3.23655,-8.002532154,3.0295,6.3104,-8.047886854,,10.1903
299.725,-10.18971,-0.69996,-3.32601,-8.97137,1.7449,17.14916,-28.16134663,-1.2663,6.95945,-15.03793087,-7.596,-3.23026,-7.981241386,3.0286,6.3123,-8.026750185,,10.1897
299.133,-10.18777,-0.6998,-3.33394,-8.96448,1.7998,17.1651,-28.06109389,-1.2086,6.97733,-14.94966908,-7.5441,-3.21044,-7.914407149,3.0255,6.3183,-7.9604048,,10.1878
297.277,-10.18194,-0.69931,-3.35904,-8.94296,1.9718,17.21594,-27.74953501,-1.0279,7.034,-14.67540814,-7.3811,-3.14794,-7.705795251,3.016,6.337,-7.753354944,,10.1819
