Shallow Rock,Activity (pH = 8.5) High C and High H,,,,Glycine+,,,Glycine,,,Glycine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
°C,,,,,,,,,,,,,,,,,,
233.254,-10.17743,-0.68402,-4.43308,-8.25351,221.3964,13.17173,672.9952722,219.8127,23.34916,634.982558,211.7319,33.52659,575.9708065,2.7042,6.9448,577.569667,,10.1774
195.326,-10.33736,-0.67632,-5.25813,-7.91184,236.9858,14.45706,665.3591891,235.6153,24.79442,630.3527795,227.2011,35.13178,574.285762,2.5677,7.213,577.0389792,,10.3374
162.5,-10.57849,-0.6708,-6.09875,-7.67006,252.7206,15.87996,658.5316426,251.5178,26.45845,625.7739527,242.7396,37.03694,571.9529832,2.4698,7.5105,576.9544148,,10.5785
99.134,-11.37652,-0.66395,-8.1392,-7.35753,291.1229,19.62778,645.0882073,290.2151,31.0043,615.8999479,280.4806,42.38082,565.7389357,2.3382,8.3041,585.2568458,,11.3765
91.07,-11.52007,-0.66397,-8.45717,-7.32643,296.987,20.23268,643.3405147,296.1139,31.75275,614.5314671,286.2275,43.27282,564.7701863,2.3283,8.4312,587.6841864,,11.5201
50,-12.40484,-0.6643,0,-7.26458,331.4616,3.25748,676.9099411,330.7481,15.66232,649.8538068,319.9464,28.06716,601.9910998,2.3143,9.2008,641.9046798,,12.4048
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 11) -High C and High H,,,,Glycine+,,,Glycine,,,Glycine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,
300,-10.14359,-0.71921,-3.1763,-12.22858,199.0602,14.73881,674.2589765,196.9764,24.8824,629.5304322,189.2754,35.02599,564.2538249,3.0312,6.6537,564.2567655,,10.1436
